POSTCODE,DATE,INDEX
2009,2020-03-15,-0.25437831039023695
2009,2020-03-16,-0.3519643696766299
2009,2020-03-17,-0.36207943209563276
2009,2020-03-18,-0.44087615954158066
2009,2020-03-19,-0.38897813199328934
2009,2020-03-20,-0.4204604679366345
2009,2020-03-21,-0.42511049312587545
2009,2020-03-22,-0.2506123100817317
2009,2020-03-23,-0.37618751302101583
2009,2020-03-24,-0.4551319370158017
2009,2020-03-25,-0.39040093224334227
2009,2020-03-26,-0.33828699554311514
2009,2020-03-27,-0.37993360039142754
2009,2020-03-28,-0.35195172612749115
2009,2020-03-29,-0.36597652078314546
2009,2020-03-30,-0.4532254235247005
2009,2020-03-31,-0.40314217296749266
2009,2020-04-01,-0.37695477182410697
2009,2020-04-02,-0.3917227604305198
2009,2020-04-03,-0.27607594785039313
2009,2020-04-04,-0.4806122854101059
2009,2020-04-05,-0.4102929817349037
2009,2020-04-06,-0.3890237965337048
2009,2020-04-07,-0.38363311004913847
2009,2020-04-08,-0.3909099123685047
2009,2020-04-09,-0.4287671949571267
2009,2020-04-10,-0.5350068529414039
2009,2020-04-11,-0.4626636028891461
2009,2020-04-12,-0.37827512562967713
2009,2020-04-13,-0.39844947650625717
2009,2020-04-14,-0.3711893720128361
2009,2020-04-15,-0.678096193517529
2009,2020-04-16,-0.5711748520003876
2009,2020-04-17,-0.3694073777161053
2009,2020-04-18,-0.4286856877886681
2009,2020-04-19,-0.4385397662067553
2009,2020-04-20,-0.43447550099785337
2009,2020-04-21,-0.4606254276884868
2009,2020-04-22,-0.41706548227787044
2009,2020-04-23,-0.4331444634889182
2009,2020-04-24,-0.46442770338259753
2009,2020-04-25,-0.4828222833459733
2009,2020-04-26,-0.331573813224173
2009,2020-04-27,-0.31063975373331565
2009,2020-04-28,-0.49115318992596724
2009,2020-04-29,-0.4350719105988812
2009,2020-04-30,-0.4755311166368795
2009,2020-05-01,-0.493859126998755
2009,2020-05-02,-0.4822124222034049
2009,2020-05-03,-0.5240929677717664
2009,2020-05-04,-0.46963063519124737
2009,2020-05-05,-0.3681684339114806
2009,2020-05-06,-0.4454673442071646
2009,2020-05-07,-0.4342735813136045
2009,2020-05-08,-0.3689385227000683
2009,2020-05-09,-0.3997710321680811
2009,2020-05-10,-0.7607527006552514
2009,2020-05-11,-0.3416215751882946
2009,2020-05-12,-0.3517761743657002
2010,2020-01-22,-0.23991374011122468
2010,2020-01-23,-0.23991374011122468
2010,2020-01-24,-0.23991374011122468
2010,2020-01-25,-0.23991374011122468
2010,2020-01-26,-0.23991374011122468
2010,2020-01-27,-0.23991374011122468
2010,2020-01-28,-0.23991374011122468
2010,2020-01-29,-0.23991374011122468
2010,2020-01-30,-0.23991374011122468
2010,2020-01-31,-0.23991374011122468
2010,2020-02-01,-0.23991374011122468
2010,2020-02-02,-0.23991374011122468
2010,2020-02-03,-0.23991374011122468
2010,2020-02-04,-0.23991374011122468
2010,2020-02-05,-0.23991374011122468
2010,2020-02-06,-0.23991374011122468
2010,2020-02-07,-0.23991374011122468
2010,2020-02-08,-0.23991374011122468
2010,2020-02-09,-0.23991374011122468
2010,2020-02-10,-0.23991374011122468
2010,2020-02-11,-0.23991374011122468
2010,2020-02-12,-0.23991374011122468
2010,2020-02-13,-0.23991374011122468
2010,2020-02-14,-0.23991374011122468
2010,2020-02-15,-0.23991374011122468
2010,2020-02-16,-0.23991374011122468
2010,2020-02-17,-0.23991374011122468
2010,2020-02-18,-0.23991374011122468
2010,2020-02-19,-0.23991374011122468
2010,2020-02-20,-0.23991374011122468
2010,2020-02-21,-0.2096107098081944
2010,2020-02-22,-0.23991374011122468
2010,2020-02-23,-0.23991374011122468
2010,2020-02-24,-0.23991374011122468
2010,2020-02-25,-0.23991374011122468
2010,2020-02-26,-0.23991374011122468
2010,2020-02-27,-0.23991374011122468
2010,2020-02-28,-0.23991374011122468
2010,2020-02-29,-0.23991374011122468
2010,2020-03-01,-0.23991374011122468
2010,2020-03-02,-0.23991374011122468
2010,2020-03-03,-0.26504267553221117
